TripTime,StartStation,EndStation
38.57,Lincoln Memorial,10th St & Constitution Ave NW
22.63,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
123.33,Lincoln Memorial,Wisconsin Ave & O St NW
124.11,Lincoln Memorial,Wisconsin Ave & O St NW
126.53,Lincoln Memorial,Wisconsin Ave & O St NW
82.2,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
24.18,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
24.3,Lincoln Memorial,14th & D St NW / Ronald Reagan Building
31.44,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
31.59,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
11.77,Jefferson Dr & 14th St SW,Lincoln Memorial
12.35,Jefferson Dr & 14th St SW,Lincoln Memorial
23.61,Jefferson Dr & 14th St SW,10th & K St NW
15.68,Lincoln Memorial,4th St & Madison Dr NW
38.93,Lincoln Memorial,Jefferson Dr & 14th St SW
39.89,Lincoln Memorial,Jefferson Dr & 14th St SW
40.02,Lincoln Memorial,Jefferson Dr & 14th St SW
46.66,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
29.68,Jefferson Dr & 14th St SW,8th & H St NW
29.64,Jefferson Dr & 14th St SW,8th & H St NW
31.23,Jefferson Dr & 14th St SW,8th & H St NW
30.09,Jefferson Dr & 14th St SW,8th & H St NW
31.4,Jefferson Dr & 14th St SW,8th & H St NW
31.19,Jefferson Dr & 14th St SW,8th & H St NW
19.57,Lincoln Memorial,Jefferson Dr & 14th St SW
20.38,Lincoln Memorial,Jefferson Dr & 14th St SW
20.22,Lincoln Memorial,Jefferson Dr & 14th St SW
14.41,Lincoln Memorial,L'Enfant Plaza / 7th & C St SW
21.08,Lincoln Memorial,Jefferson Dr & 14th St SW
21.27,Lincoln Memorial,Jefferson Dr & 14th St SW
21.24,Lincoln Memorial,Jefferson Dr & 14th St SW
25.33,Lincoln Memorial,10th & G St NW
17.93,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
16.14,Lincoln Memorial,N Lynn St & Fairfax Dr
6.25,Jefferson Dr & 14th St SW,17th & G St NW
8.48,Jefferson Dr & 14th St SW,Constitution Ave & 2nd St NW/DOL
8.93,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
15.98,Lincoln Memorial,Lynn & 19th St North
11.1,Lincoln Memorial,L'Enfant Plaza / 7th & C St SW
12.37,Jefferson Dr & 14th St SW,North Capitol St & F St NW
7.04,Jefferson Dr & 14th St SW,17th & G St NW
7.09,Jefferson Dr & 14th St SW,US Dept of State / Virginia Ave & 21st St NW
15.31,Lincoln Memorial,North Capitol St & F St NW
18.83,Lincoln Memorial,4th & M St SW
6.14,Jefferson Dr & 14th St SW,19th St & Constitution Ave NW
33.88,Jefferson Dr & 14th St SW,3rd St & Pennsylvania Ave SE
29.78,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
31.03,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
16.18,Jefferson Dr & 14th St SW,Lincoln Memorial
16.28,Jefferson Dr & 14th St SW,Lincoln Memorial
17.06,Jefferson Dr & 14th St SW,Lincoln Memorial
16.64,Jefferson Dr & 14th St SW,Lincoln Memorial
14.55,Lincoln Memorial,Jefferson Memorial
5.07,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
4.83,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
26.45,Lincoln Memorial,15th & P St NW
33.81,Lincoln Memorial,17th St & Independence Ave SW
27.96,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
33.39,Lincoln Memorial,17th St & Independence Ave SW
27.72,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
35.13,Lincoln Memorial,17th St & Independence Ave SW
34.89,Lincoln Memorial,17th St & Independence Ave SW
27.26,Jefferson Dr & 14th St SW,C & O Canal & Wisconsin Ave NW
27.57,Jefferson Dr & 14th St SW,C & O Canal & Wisconsin Ave NW
