TripTime,StartStation,EndStation
15,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
11.41,Lincoln Memorial,Jefferson Dr & 14th St SW
17.24,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
18.38,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
19.49,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
19.29,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
42.38,Lincoln Memorial,New York Ave & 15th St NW
11.09,Lincoln Memorial,Jefferson Memorial
10.95,Lincoln Memorial,Jefferson Memorial
10.25,Lincoln Memorial,Jefferson Memorial
11.82,Jefferson Dr & 14th St SW,North Capitol St & F St NW
10.03,Jefferson Dr & 14th St SW,15th & L St NW
25.61,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
25.35,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
7.5,Lincoln Memorial,22nd St & Constitution Ave NW
5.27,Jefferson Dr & 14th St SW,14th & G St NW
6.07,Jefferson Dr & 14th St SW,19th St & Constitution Ave NW
3.7,Jefferson Dr & 14th St SW,10th St & L'Enfant Plaza SW
6.63,Jefferson Dr & 14th St SW,21st St & Constitution Ave NW
6.72,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
8.07,Jefferson Dr & 14th St SW,21st St & Constitution Ave NW
16.77,Lincoln Memorial,4th & M St SW
15.51,Lincoln Memorial,North Capitol St & F St NW
15.1,Lincoln Memorial,5th St & Massachusetts Ave NW
18.67,Lincoln Memorial,North Capitol St & G Pl NE
21.98,Lincoln Memorial,S Joyce & 16th St S
11.55,Lincoln Memorial,Jefferson Memorial
11.37,Lincoln Memorial,Jefferson Memorial
29.47,Jefferson Dr & 14th St SW,10th & U St NW
28.83,Jefferson Dr & 14th St SW,10th & U St NW
24.39,Lincoln Memorial,Central Library / N Quincy St & 10th St N
9.21,Jefferson Dr & 14th St SW,23rd & E St NW
8.24,Jefferson Dr & 14th St SW,6th St & Indiana Ave NW
7.95,Jefferson Dr & 14th St SW,6th St & Indiana Ave NW
21.38,Lincoln Memorial,15th St & Massachusetts Ave SE
17.24,Lincoln Memorial,Hains Point/Buckeye & Ohio Dr SW
116.05,Jefferson Dr & 14th St SW,14th & Rhode Island Ave NW
115.86,Jefferson Dr & 14th St SW,14th & Rhode Island Ave NW
18,Lincoln Memorial,Hains Point/Buckeye & Ohio Dr SW
47.63,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
47.25,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
12.73,Jefferson Dr & 14th St SW,14th & R St NW
24.22,Lincoln Memorial,16th & Irving St NW
19.31,Lincoln Memorial,15th & N Scott St
16.94,Jefferson Dr & 14th St SW,1st & N St  SE
18.61,Jefferson Dr & 14th St SW,4th St & Madison Dr NW
12.83,Jefferson Dr & 14th St SW,14th & Rhode Island Ave NW
15.85,Lincoln Memorial,15th & P St NW
20.79,Jefferson Dr & 14th St SW,New Hampshire Ave & T St NW
21.15,Jefferson Dr & 14th St SW,New Hampshire Ave & T St NW
14.18,Lincoln Memorial,7th & F St NW/Portrait Gallery
13.78,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
15.7,Jefferson Dr & 14th St SW,14th & Rhode Island Ave NW
24.76,Jefferson Dr & 14th St SW,15th & Crystal Dr
60.45,Jefferson Dr & 14th St SW,Lincoln Memorial
61.49,Jefferson Dr & 14th St SW,Lincoln Memorial
11.48,Jefferson Dr & 14th St SW,Columbus Circle / Union Station
13.11,Jefferson Dr & 14th St SW,5th & F St NW
34.53,Jefferson Dr & 14th St SW,4th & D St NW / Judiciary Square
13.74,Jefferson Dr & 14th St SW,20th & O St NW / Dupont South
10.3,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
35.11,Jefferson Dr & 14th St SW,4th & D St NW / Judiciary Square
38.8,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
40.96,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
38.8,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
40.69,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
10.81,Lincoln Memorial,Iwo Jima Memorial/N Meade & 14th St N
67.86,Lincoln Memorial,Montgomery & East Ln
6.14,Jefferson Dr & 14th St SW,4th & E St SW
16.18,Jefferson Dr & 14th St SW,14th St & New York Ave NW
84.7,Jefferson Dr & 14th St SW,Metro Center / 12th & G St NW
78.48,Jefferson Dr & 14th St SW,7th & F St NW/Portrait Gallery
78.82,Jefferson Dr & 14th St SW,7th & F St NW/Portrait Gallery
80.78,Jefferson Dr & 14th St SW,7th & F St NW/Portrait Gallery
87.29,Jefferson Dr & 14th St SW,Metro Center / 12th & G St NW
88.97,Jefferson Dr & 14th St SW,Metro Center / 12th & G St NW
88.65,Jefferson Dr & 14th St SW,Metro Center / 12th & G St NW
16.53,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
46.8,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
49.18,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
50.15,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
19.38,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
112.64,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
11.56,Lincoln Memorial,Jefferson Dr & 14th St SW
11.89,Lincoln Memorial,Jefferson Dr & 14th St SW
17.48,Lincoln Memorial,Barton St & 10th St N
15.58,Jefferson Dr & 14th St SW,2nd St & Massachusetts Ave NE
1.03,Lincoln Memorial,Lincoln Memorial
29.89,Jefferson Dr & 14th St SW,10th St & Constitution Ave NW
30.34,Jefferson Dr & 14th St SW,10th St & Constitution Ave NW
39.17,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
39.08,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
25.56,Lincoln Memorial,Lincoln Memorial
25.5,Lincoln Memorial,Lincoln Memorial
40.15,Jefferson Dr & 14th St SW,17th & K St NW / Farragut Square
40.16,Jefferson Dr & 14th St SW,17th & K St NW / Farragut Square
37.42,Jefferson Dr & 14th St SW,4th & East Capitol St NE
75.96,Lincoln Memorial,C & O Canal & Wisconsin Ave NW
74.99,Lincoln Memorial,C & O Canal & Wisconsin Ave NW
25.68,Lincoln Memorial,10th St & Constitution Ave NW
31.35,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
15.84,Jefferson Dr & 14th St SW,11th & F St NW
32.33,Lincoln Memorial,Smithsonian-National Mall / Jefferson Dr & 12th St SW
19.03,Jefferson Dr & 14th St SW,11th & F St NW
7.5,Jefferson Dr & 14th St SW,Lincoln Memorial
9.02,Jefferson Dr & 14th St SW,Lincoln Memorial
3.28,Lincoln Memorial,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials
7.63,Jefferson Dr & 14th St SW,21st St & Constitution Ave NW
25.3,Jefferson Dr & 14th St SW,4th & M St SW
15.29,Lincoln Memorial,17th & G St NW
15.7,Lincoln Memorial,17th & G St NW
17.67,Lincoln Memorial,19th & G St NW
63.1,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
22.14,Jefferson Dr & 14th St SW,Georgetown Harbor / 30th St NW
63.25,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
15.82,Lincoln Memorial,Maryland & Independence Ave SW
30.54,Lincoln Memorial,Constitution Ave & 2nd St NW/DOL
51.98,Lincoln Memorial,Jefferson Dr & 14th St SW
51.87,Lincoln Memorial,Jefferson Dr & 14th St SW
73.33,Jefferson Dr & 14th St SW,21st St & Constitution Ave NW
74.09,Jefferson Dr & 14th St SW,21st St & Constitution Ave NW
11.48,Lincoln Memorial,Jefferson Memorial
16.51,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
16.21,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
20.28,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
22.87,Jefferson Dr & 14th St SW,Maryland & Independence Ave SW
53.39,Jefferson Dr & 14th St SW,17th & K St NW / Farragut Square
52.38,Jefferson Dr & 14th St SW,Jefferson Memorial
23.93,Jefferson Dr & 14th St SW,Henry Bacon Dr & Lincoln Memorial Circle NW
21.1,Lincoln Memorial,10th St & Constitution Ave NW
27.24,Lincoln Memorial,Jefferson Dr & 14th St SW
27,Lincoln Memorial,Jefferson Dr & 14th St SW
38.48,Lincoln Memorial,13th St & New York Ave NW
7.74,Jefferson Dr & 14th St SW,Lincoln Memorial
13.96,Lincoln Memorial,12th & L St NW
13.1,Jefferson Dr & 14th St SW,Jefferson Dr & 14th St SW
41.45,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
23.21,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
22.87,Jefferson Dr & 14th St SW,17th St & Independence Ave SW
18.16,Lincoln Memorial,Columbus Circle / Union Station
6.38,Jefferson Dr & 14th St SW,22nd St & Constitution Ave NW
4.3,Jefferson Dr & 14th St SW,Independence Ave & L'Enfant Plaza SW/DOE
8.52,Jefferson Dr & 14th St SW,Washington & Independence Ave SW/HHS
19.68,Jefferson Dr & 14th St SW,Eastern Market Metro / Pennsylvania Ave & 7th St SE
7.77,Jefferson Dr & 14th St SW,US Dept of State / Virginia Ave & 21st St NW
16.82,Jefferson Dr & 14th St SW,15th & East Capitol St NE
18.68,Lincoln Memorial,4th & D St NW / Judiciary Square
26.41,Lincoln Memorial,14th & Harvard St NW
21.88,Lincoln Memorial,15th & W St NW
27.28,Lincoln Memorial,New Hampshire Ave & T St NW
21.22,Lincoln Memorial,15th & W St NW
11.56,Lincoln Memorial,20th & L St NW
22.6,Lincoln Memorial,1st & M St NE
21.28,Lincoln Memorial,7th & R St NW / Shaw Library
11.18,Lincoln Memorial,22nd & I St NW / Foggy Bottom
26.88,Lincoln Memorial,Columbus Circle / Union Station
26.87,Lincoln Memorial,Columbus Circle / Union Station
21.62,Lincoln Memorial,16th & R St NW
20.86,Lincoln Memorial,15th & P St NW
20.06,Lincoln Memorial,14th & Harvard St NW
19.59,Lincoln Memorial,14th & Harvard St NW
15.7,Lincoln Memorial,5th St & Massachusetts Ave NW
15.62,Lincoln Memorial,North Capitol St & F St NW
17.72,Lincoln Memorial,4th & M St SW
38,Lincoln Memorial,Jefferson Dr & 14th St SW
18.63,Lincoln Memorial,North Capitol St & G Pl NE
10.42,Lincoln Memorial,20th & L St NW
10.55,Lincoln Memorial,20th & L St NW
